otolith;id.reading;reading;visual.cp2.DOY
Crinan_2009-08-23_1;Crinan_2009-08-23_1.2;2;143
Crinan_2009-08-23_10;Crinan_2009-08-23_10.1;1;125
Crinan_2009-08-23_10;Crinan_2009-08-23_10.2;2;133
Crinan_2009-08-23_11;Crinan_2009-08-23_11.1;1;120
Crinan_2009-08-23_11;Crinan_2009-08-23_11.2;2;143
Crinan_2009-08-23_2;Crinan_2009-08-23_2.1;1;143
Crinan_2009-08-23_2;Crinan_2009-08-23_2.2;2;146
Crinan_2009-08-23_3;Crinan_2009-08-23_3.1;1;129
Crinan_2009-08-23_3;Crinan_2009-08-23_3.2;2;139
Crinan_2009-08-23_4;Crinan_2009-08-23_4.1;1;126
Crinan_2009-08-23_4;Crinan_2009-08-23_4.2;2;129
Crinan_2009-08-23_6;Crinan_2009-08-23_6.1;1;128
Crinan_2009-08-23_6;Crinan_2009-08-23_6.2;2;146
Crinan_2009-08-23_7;Crinan_2009-08-23_7.1;1;165
Crinan_2009-08-23_7;Crinan_2009-08-23_7.2;2;172
Crinan_2009-08-23_9;Crinan_2009-08-23_9.1;1;114
Crinan_2009-08-23_9;Crinan_2009-08-23_9.2;2;126
Gairloch_2009-08-22_1;Gairloch_2009-08-22_1.1;1;90
Gairloch_2009-08-22_1;Gairloch_2009-08-22_1.2;2;101
Gairloch_2009-08-22_10;Gairloch_2009-08-22_10.1;1;129
Gairloch_2009-08-22_10;Gairloch_2009-08-22_10.2;2;125
Gairloch_2009-08-22_2;Gairloch_2009-08-22_2.1;1;119
Gairloch_2009-08-22_2;Gairloch_2009-08-22_2.2;2;125
Gairloch_2009-08-22_3;Gairloch_2009-08-22_3.1;1;83
Gairloch_2009-08-22_3;Gairloch_2009-08-22_3.2;2;77
Gairloch_2009-08-22_7;Gairloch_2009-08-22_7.1;1;123
Gairloch_2009-08-22_7;Gairloch_2009-08-22_7.2;2;103
Gairloch_2009-08-22_9;Gairloch_2009-08-22_9.1;1;68
Gairloch_2009-08-22_9;Gairloch_2009-08-22_9.2;2;75
Ganavan_2009-08-20_10;Ganavan_2009-08-20_10.1;1;83
Ganavan_2009-08-20_10;Ganavan_2009-08-20_10.2;2;90
Ganavan_2009-08-20_11;Ganavan_2009-08-20_11.1;1;102
Ganavan_2009-08-20_11;Ganavan_2009-08-20_11.2;2;109
Ganavan_2009-08-20_12;Ganavan_2009-08-20_12.1;1;110
Ganavan_2009-08-20_12;Ganavan_2009-08-20_12.2;2;114
Ganavan_2009-08-20_3;Ganavan_2009-08-20_3.1;1;110
Ganavan_2009-08-20_3;Ganavan_2009-08-20_3.2;2;100
Ganavan_2009-08-20_4;Ganavan_2009-08-20_4.1;1;114
Ganavan_2009-08-20_4;Ganavan_2009-08-20_4.2;2;136
Ganavan_2009-08-20_5;Ganavan_2009-08-20_5.1;1;99
Ganavan_2009-08-20_5;Ganavan_2009-08-20_5.2;2;80
Ganavan_2009-08-20_7;Ganavan_2009-08-20_7.1;1;113
Ganavan_2009-08-20_7;Ganavan_2009-08-20_7.2;2;114
Ganavan_2009-08-20_8;Ganavan_2009-08-20_8.1;1;130
Ganavan_2009-08-20_8;Ganavan_2009-08-20_8.2;2;128
Ganavan_2009-08-20_9;Ganavan_2009-08-20_9.1;1;116
Ganavan_2009-08-20_9;Ganavan_2009-08-20_9.2;2;121
Ganavan_2009-08-22_2;Ganavan_2009-08-22_2.1;1;122
Ganavan_2009-08-22_2;Ganavan_2009-08-22_2.2;2;107
Glenuig_2009-08-19_3;Glenuig_2009-08-19_3.1;1;90
Glenuig_2009-08-19_3;Glenuig_2009-08-19_3.2;2;88
Glenuig_2009-08-19_4;Glenuig_2009-08-19_4.1;1;114
Glenuig_2009-08-19_4;Glenuig_2009-08-19_4.2;2;112
Glenuig_2009-08-19_5;Glenuig_2009-08-19_5.1;1;86
Glenuig_2009-08-19_5;Glenuig_2009-08-19_5.2;2;100
Glenuig_2009-08-19_6;Glenuig_2009-08-19_6.1;1;91
Glenuig_2009-08-19_6;Glenuig_2009-08-19_6.2;2;94
Glenuig_2009-08-19_7;Glenuig_2009-08-19_7.1;1;87
Glenuig_2009-08-19_7;Glenuig_2009-08-19_7.2;2;86
Glenuig_2009-08-19_8;Glenuig_2009-08-19_8.1;1;102
Glenuig_2009-08-19_8;Glenuig_2009-08-19_8.2;2;103
